"input","posture","rurl_status","conformant"
"http://ho%05st/","general","error",TRUE
"http://ho%06st/","general","error",TRUE
"http://ho%07st/","general","error",TRUE
"http://ho%08st/","general","error",TRUE
"http://ho%09st/","general","error",TRUE
"http://ho%0Ast/","general","error",TRUE
"http://ho%0Bst/","general","error",TRUE
"http://ho%0Cst/","general","error",TRUE
"http://ho%0Dst/","general","error",TRUE
"http://ho%0Est/","general","error",TRUE
"http://ho%0Fst/","general","error",TRUE
"http://ho%10st/","general","error",TRUE
"http://ho%11st/","general","error",TRUE
"http://ho%12st/","general","error",TRUE
"http://ho%13st/","general","error",TRUE
"http://ho%14st/","general","error",TRUE
"http://ho%15st/","general","error",TRUE
"http://ho%16st/","general","error",TRUE
"http://ho%17st/","general","error",TRUE
"http://ho%18st/","general","error",TRUE
"http://ho%19st/","general","error",TRUE
"http://ho%1Ast/","general","error",TRUE
"http://ho%1Bst/","general","error",TRUE
"http://ho%1Cst/","general","error",TRUE
"http://ho%1Dst/","general","error",TRUE
"http://ho%1Est/","general","error",TRUE
"http://ho%1Fst/","general","error",TRUE
"http://ho%20st/","general","error",TRUE
"http://ho%23st/","general","error",TRUE
"http://ho%25st/","general","error",TRUE
"http://ho%2Fst/","general","error",TRUE
"http://ho%3Ast/","general","error",TRUE
"http://ho%3Cst/","general","error",TRUE
"http://ho%3Est/","general","error",TRUE
"http://ho%3Fst/","general","error",TRUE
"http://ho%40st/","general","error",TRUE
"http://ho%5Bst/","general","error",TRUE
"http://ho%5Cst/","general","error",TRUE
"http://ho%5Dst/","general","error",TRUE
"http://ho%7Cst/","general","error",TRUE
"http://ho%7Fst/","general","error",TRUE
"ftp://example.com%80/","general","error",TRUE
"ftp://example.com%A0/","general","error",TRUE
"https://example.com%80/","general","error",TRUE
"https://example.com%A0/","general","error",TRUE
"https://0x100000000/test","general","error",TRUE
"https://256.0.0.1/test","general","error",TRUE
"file://%43%3A","general","error",TRUE
"file://%43%7C","general","error",TRUE
"file://%43|","general","error",TRUE
"file://C%7C","general","error",TRUE
"file://%43%7C/","general","error",TRUE
"https://%43%7C/","general","error",TRUE
"asdf://%43|/","general","error",TRUE
"\\\.\Y:","general","error",TRUE
"\\\.\y:","general","error",TRUE
"https://[0::0::0]","general","error",TRUE
"https://[0:.0]","general","error",TRUE
"https://[0:0:]","general","error",TRUE
"https://[0:1:2:3:4:5:6:7.0.0.0.1]","general","error",TRUE
"https://[0:1.00.0.0.0]","general","error",TRUE
"https://[0:1.290.0.0.0]","general","error",TRUE
"https://[0:1.23.23]","general","error",TRUE
"http://?","general","error",TRUE
"http://#","general","error",TRUE
"non-special://[:80/","general","error",TRUE
"http://[::127.0.0.0.1]","general","error",TRUE
"a","general","error",TRUE
"a/","general","error",TRUE
"a//","general","error",TRUE
"file://­/p","general","error",TRUE
"file://%C2%AD/p","general","error",TRUE
"#","general","error",TRUE
"?","general","error",TRUE
"http://0..0x300/","general","error",TRUE
"http://0..0x300./","general","error",TRUE
"http://1.2.3.08","general","error",TRUE
"http://1.2.3.08.","general","error",TRUE
"http://1.2.3.09","general","error",TRUE
"http://09.2.3.4","general","error",TRUE
"http://09.2.3.4.","general","error",TRUE
"http://01.2.3.4.5","general","error",TRUE
"http://01.2.3.4.5.","general","error",TRUE
"http://0x100.2.3.4","general","error",TRUE
"http://0x100.2.3.4.","general","error",TRUE
"http://0x1.2.3.4.5","general","error",TRUE
"http://0x1.2.3.4.5.","general","error",TRUE
"http://foo.1.2.3.4","general","error",TRUE
"http://foo.1.2.3.4.","general","error",TRUE
"http://foo.2.3.4","general","error",TRUE
"http://foo.2.3.4.","general","error",TRUE
"http://foo.09","general","error",TRUE
"http://foo.09.","general","error",TRUE
"http://foo.0x4","general","error",TRUE
"http://foo.0x4.","general","error",TRUE
"http://0999999999999999999/","general","error",TRUE
"http://foo.0x","general","error",TRUE
"http://foo.0XFfFfFfFfFfFfFfFfFfAcE123","general","error",TRUE
"http://💩.123/","general","error",TRUE
"https://￿y","general","error",TRUE
"","general","error",TRUE
"https://­/","general","error",TRUE
"https://%C2%AD/","general","error",TRUE
"data://:443","general","error",TRUE
"data://test:test","general","error",TRUE
"data://[:1]","general","error",TRUE
"javascript://:443","general","error",TRUE
"javascript://test:test","general","error",TRUE
"javascript://[:1]","general","error",TRUE
"mailto://:443","general","error",TRUE
"mailto://test:test","general","error",TRUE
"mailto://[:1]","general","error",TRUE
"intent://:443","general","error",TRUE
"intent://test:test","general","error",TRUE
"intent://[:1]","general","error",TRUE
"urn://:443","general","error",TRUE
"urn://test:test","general","error",TRUE
"urn://[:1]","general","error",TRUE
"turn://:443","general","error",TRUE
"turn://test:test","general","error",TRUE
"turn://[:1]","general","error",TRUE
"stun://:443","general","error",TRUE
"stun://test:test","general","error",TRUE
"stun://[:1]","general","error",TRUE
"non-special://host\a","general","error",TRUE
